order_no,booking_dt,rent_start_dt,rent_end_dt,acct_id,depart_parking_lot_id,return_parking_lot_id,mileage_diff,car_series_name
ORD0000015,2024-09-27 15:56:00,2024-09-27 16:01:00,2024-09-27 16:38:00,U04647,500112035,500110046,9.99,YouBike 2.0 電輔版
ORD0000016,2023-07-04 14:58:00,2023-07-04 15:10:00,2023-07-04 15:38:00,U07248,500107038,500107038,5.57,YouBike 2.0 電輔版
ORD0000017,2024-03-11 19:59:00,2024-03-11 20:14:00,2024-03-11 23:23:00,U06120,500110008,500110008,35.63,YouBike 2.0 電輔版
ORD0000018,2023-04-14 17:48:00,2023-04-14 18:13:00,2023-04-14 18:27:00,U01797,500104089,500104089,4.64,YouBike 2.0 電輔版
ORD0000019,2024-08-21 19:34:00,2024-08-21 20:15:00,2024-08-21 20:25:00,U06489,500101222,500101222,2.02,YouBike 2.0 電輔版
ORD0000020,2024-08-06 19:51:00,2024-08-06 20:13:00,2024-08-06 21:09:00,U04882,500108049,500108049,13.86,輕型電動車
ORD0000021,2024-12-15 19:44:00,2024-12-15 20:08:00,2024-12-15 21:02:00,U05585,500101001,500106057,16.04,YouBike 2.0 電輔版
ORD0000022,2023-07-04 11:58:00,2023-07-04 12:08:00,2023-07-04 12:19:00,U02405,500104077,500104077,2.9,YouBike 2.0 電輔版
ORD0000023,2024-07-03 07:43:00,2024-07-03 08:05:00,2024-07-03 08:42:00,U04101,500107009,500107009,9.38,YouBike 2.0 電輔版
ORD0000024,2023-03-21 08:54:00,2023-03-21 09:05:00,2023-03-21 09:15:00,U05123,500107181,500107181,2.05,YouBike 2.0 電輔版
ORD0000025,2024-07-17 08:39:00,2024-07-17 09:06:00,2024-07-17 09:34:00,U04345,500101103,500106051,5.29,YouBike 1.0 一般版
ORD0000026,2024-01-06 13:59:00,2024-01-06 14:00:00,2024-01-06 14:38:00,U00917,500119078,500119078,8.75,YouBike 2.0 電輔版
ORD0000027,2024-06-08 11:59:00,2024-06-08 12:11:00,2024-06-08 13:00:00,U07193,500107127,500107127,14.12,折疊單車
ORD0000028,2025-02-20 17:48:00,2025-02-20 18:02:00,2025-02-20 18:21:00,U00567,500103033,500103033,3.01,YouBike 1.0 一般版
ORD0000029,2023-01-21 15:54:00,2023-01-21 16:04:00,2023-01-21 16:14:00,U07147,500109037,500109037,1.21,YouBike 2.0 電輔版
ORD0000030,2023-09-30 20:49:00,2023-09-30 21:13:00,2023-09-30 21:44:00,U06188,500103010,500106044,9.25,YouBike 2.0 電輔版
ORD0000031,2024-10-13 16:53:00,2024-10-13 17:06:00,2024-10-13 17:25:00,U07370,500119072,500119072,4.37,YouBike 1.0 一般版
ORD0000032,2023-01-03 06:46:00,2023-01-03 07:14:00,2023-01-03 07:34:00,U02770,500112112,500112112,4.1,輕型電動車
ORD0000033,2023-03-03 09:30:00,2023-03-03 10:07:00,2023-03-03 11:00:00,U00553,500112045,500112045,13.78,YouBike 2.0 電輔版
ORD0000034,2025-03-16 06:58:00,2025-03-16 07:01:00,2025-03-16 07:42:00,U01950,500103051,500103051,11.57,輕型電動車
ORD0000035,2024-11-22 11:38:00,2024-11-22 12:15:00,2024-11-22 12:30:00,U03873,500107158,500107158,3.72,YouBike 2.0 電輔版
ORD0000036,2024-11-24 16:37:00,2024-11-24 17:15:00,2024-11-24 17:28:00,U00795,500104108,500104108,4.43,YouBike 2.0 電輔版
ORD0000037,2023-02-25 18:51:00,2023-02-25 19:13:00,2023-02-25 20:06:00,U05354,500101201,500101201,10.49,YouBike 2.0 電輔版
ORD0000038,2025-02-04 15:50:00,2025-02-04 16:03:00,2025-02-04 17:56:00,U06559,500119068,500107160,20.28,輕型電動車
ORD0000039,2023-05-25 13:57:00,2023-05-25 14:03:00,2023-05-25 14:27:00,U02282,500104029,500104029,5.0,YouBike 1.0 一般版
ORD0000040,2023-08-30 17:44:00,2023-08-30 18:07:00,2023-08-30 21:28:00,U06620,500101120,500101120,57.44,折疊單車
ORD0000041,2023-11-16 19:57:00,2023-11-16 20:03:00,2023-11-16 20:30:00,U07589,500119049,500119045,5.63,輕型電動車
ORD0000042,2024-08-14 07:54:00,2024-08-14 08:07:00,2024-08-14 08:57:00,U01752,500105019,500105019,9.44,YouBike 2.0 電輔版
ORD0000043,2025-01-08 20:57:00,2025-01-08 21:12:00,2025-01-08 21:58:00,U07591,500101207,500101207,13.22,YouBike 1.0 一般版
ORD0000044,2024-03-31 08:55:00,2024-03-31 09:14:00,2024-03-31 10:57:00,U05985,500105073,500106010,21.11,輕型電動車
ORD0000045,2025-03-31 10:55:00,2025-03-31 11:15:00,2025-03-31 12:11:00,U04442,500111113,500111113,10.11,輕型電動車
ORD0000046,2025-04-26 23:31:00,2025-04-27 00:10:00,2025-04-27 00:29:00,U04120,500109015,500109015,4.57,YouBike 2.0 電輔版
ORD0000047,2025-02-03 17:59:00,2025-02-03 18:05:00,2025-02-03 18:29:00,U00557,500106098,500106098,3.21,YouBike 2.0 電輔版
ORD0000048,2024-08-23 10:51:00,2024-08-23 11:07:00,2024-08-23 11:58:00,U04667,500103040,500119071,11.2,輕型電動車
ORD0000049,2023-12-03 04:37:00,2023-12-03 05:01:00,2023-12-03 05:22:00,U07658,500101269,500101269,4.66,YouBike 1.0 一般版
ORD0000050,2025-01-25 21:38:00,2025-01-25 22:06:00,2025-01-25 23:10:00,U02176,500107101,500107101,16.7,輕型電動車
ORD0000051,2024-10-15 14:42:00,2024-10-15 15:04:00,2024-10-15 16:21:00,U00595,500119063,500108009,19.59,YouBike 2.0 電輔版
ORD0000052,2024-03-16 12:30:00,2024-03-16 13:14:00,2024-03-16 14:07:00,U00820,500110091,500110091,13.64,YouBike 2.0 電輔版
ORD0000053,2024-03-05 18:32:00,2024-03-05 19:06:00,2024-03-05 19:23:00,U02002,500103077,500103077,4.29,YouBike 2.0 電輔版
ORD0000054,2025-05-27 06:41:00,2025-05-27 07:09:00,2025-05-27 08:44:00,U05764,500104007,500113045,18.17,YouBike 1.0 一般版
ORD0000055,2024-03-22 14:39:00,2024-03-22 15:00:00,2024-03-22 15:11:00,U07194,500104134,500104134,1.72,YouBike 2.0 電輔版
ORD0000056,2024-02-03 10:34:00,2024-02-03 11:08:00,2024-02-03 12:57:00,U04533,500101196,500101196,19.45,YouBike 2.0 電輔版
ORD0000057,2024-03-06 16:34:00,2024-03-06 17:08:00,2024-03-06 17:23:00,U06988,500107170,500107134,3.18,YouBike 2.0 電輔版
ORD0000058,2023-06-08 05:38:00,2023-06-08 06:15:00,2023-06-08 06:43:00,U00417,500113079,500112089,6.05,YouBike 2.0 電輔版
ORD0000059,2023-05-08 13:32:00,2023-05-08 14:13:00,2023-05-08 14:52:00,U02146,500103053,500103053,11.25,YouBike 2.0 電輔版
ORD0000060,2025-02-28 18:35:00,2025-02-28 19:14:00,2025-02-28 20:10:00,U00080,500109028,500109028,13.58,輕型電動車
ORD0000061,2023-09-02 16:33:00,2023-09-02 17:02:00,2023-09-02 19:15:00,U03025,500113059,500113059,38.82,YouBike 2.0 電輔版
ORD0000062,2024-05-26 07:48:00,2024-05-26 08:04:00,2024-05-26 08:11:00,U02988,500105027,500105027,1.3,YouBike 2.0 電輔版
ORD0000063,2025-05-21 06:58:00,2025-05-21 07:01:00,2025-05-21 07:22:00,U06391,500106006,500106006,6.11,輕型電動車
ORD0000064,2023-08-21 08:47:00,2023-08-21 09:13:00,2023-08-21 09:47:00,U07584,500107178,500110005,10.45,YouBike 2.0 電輔版
ORD0000065,2025-04-13 17:59:00,2025-04-13 18:07:00,2025-04-13 18:26:00,U00204,500103086,500110104,6.26,輕型電動車
ORD0000066,2025-02-16 06:35:00,2025-02-16 07:10:00,2025-02-16 08:05:00,U05488,500104140,500104140,14.77,YouBike 1.0 一般版
ORD0000067,2024-10-27 18:57:00,2024-10-27 19:07:00,2024-10-27 20:35:00,U07034,500111002,500101216,17.85,輕型電動車
ORD0000068,2025-02-20 11:45:00,2025-02-20 12:07:00,2025-02-20 12:29:00,U02865,500105081,500101210,4.02,YouBike 2.0 電輔版
ORD0000069,2023-05-07 06:39:00,2023-05-07 07:07:00,2023-05-07 07:44:00,U00569,500113086,500113086,7.0,YouBike 1.0 一般版
ORD0000070,2025-03-28 07:00:00,2025-03-28 07:08:00,2025-03-28 07:35:00,U05567,500108199,500108199,5.34,YouBike 1.0 一般版
ORD0000071,2024-01-02 17:56:00,2024-01-02 18:10:00,2024-01-02 18:28:00,U07886,500108070,500108070,6.25,YouBike 2.0 電輔版
ORD0000072,2025-01-12 16:38:00,2025-01-12 17:01:00,2025-01-12 17:30:00,U05969,500119052,500119052,6.13,YouBike 1.0 一般版
ORD0000073,2023-04-23 06:55:00,2023-04-23 07:10:00,2023-04-23 07:45:00,U01558,500101166,500112002,8.12,YouBike 1.0 一般版
ORD0000074,2023-09-11 08:38:00,2023-09-11 09:01:00,2023-09-11 09:22:00,U07583,500108147,500108147,5.46,輕型電動車
ORD0000075,2023-04-23 20:55:00,2023-04-23 21:06:00,2023-04-23 21:24:00,U02572,500111031,500111031,4.54,YouBike 1.0 一般版
ORD0000076,2024-09-19 10:51:00,2024-09-19 11:03:00,2024-09-19 11:28:00,U02534,500107050,500107050,6.88,YouBike 2.0 電輔版
ORD0000077,2025-05-29 05:51:00,2025-05-29 06:13:00,2025-05-29 07:26:00,U05448,500108154,500108154,15.13,折疊單車
ORD0000078,2025-02-26 07:00:00,2025-02-26 07:12:00,2025-02-26 08:03:00,U05043,500108032,500107054,12.5,輕型電動車
ORD0000079,2023-11-05 05:48:00,2023-11-05 06:09:00,2023-11-05 06:40:00,U06437,500119092,500119092,7.06,YouBike 2.0 電輔版
ORD0000080,2023-05-19 06:48:00,2023-05-19 07:10:00,2023-05-19 08:09:00,U01751,500103059,500103059,13.12,YouBike 2.0 電輔版
ORD0000081,2023-01-04 16:46:00,2023-01-04 17:15:00,2023-01-04 18:10:00,U02325,500101124,500105037,15.78,折疊單車
ORD0000082,2024-06-09 06:46:00,2024-06-09 07:10:00,2024-06-09 07:44:00,U01925,500106038,500103069,5.89,YouBike 1.0 一般版
ORD0000083,2024-02-22 15:51:00,2024-02-22 16:09:00,2024-02-22 16:16:00,U03893,500111120,500111120,1.41,YouBike 1.0 一般版
ORD0000084,2023-11-14 06:49:00,2023-11-14 07:02:00,2023-11-14 07:40:00,U04716,500113057,500107024,8.75,YouBike 1.0 一般版
ORD0000085,2023-03-05 20:36:00,2023-03-05 21:12:00,2023-03-05 21:40:00,U06152,500111114,500111114,6.54,折疊單車
ORD0000086,2024-08-13 17:57:00,2024-08-13 18:03:00,2024-08-13 18:27:00,U06588,500106134,500106134,7.22,輕型電動車
ORD0000087,2023-08-18 13:00:00,2023-08-18 13:14:00,2023-08-18 13:23:00,U06566,500101137,500101137,1.57,輕型電動車
ORD0000088,2024-10-26 17:44:00,2024-10-26 18:10:00,2024-10-26 18:29:00,U05019,500113014,500108159,6.54,YouBike 1.0 一般版
ORD0000089,2024-08-03 08:56:00,2024-08-03 09:13:00,2024-08-03 09:27:00,U03889,500113094,500108207,2.87,YouBike 2.0 電輔版
ORD0000090,2023-08-12 05:44:00,2023-08-12 06:08:00,2023-08-12 06:35:00,U02272,500105020,500101041,6.89,YouBike 2.0 電輔版
ORD0000091,2023-01-19 14:54:00,2023-01-19 15:15:00,2023-01-19 15:48:00,U02226,500108094,500108094,8.23,輕型電動車
ORD0000092,2025-02-20 13:40:00,2025-02-20 14:10:00,2025-02-20 15:17:00,U01236,500107029,500107029,19.34,YouBike 1.0 一般版
ORD0000093,2024-06-07 07:37:00,2024-06-07 08:12:00,2024-06-07 09:14:00,U04446,500106132,500106132,16.02,YouBike 2.0 電輔版
ORD0000094,2023-12-24 14:44:00,2023-12-24 15:13:00,2023-12-24 15:21:00,U03191,500107085,500113008,1.22,YouBike 2.0 電輔版
ORD0000095,2024-07-19 20:58:00,2024-07-19 21:00:00,2024-07-19 21:09:00,U02882,500107107,500107107,2.58,折疊單車
ORD0000096,2024-06-20 07:39:00,2024-06-20 08:12:00,2024-06-20 08:40:00,U03433,500108142,500106047,7.37,YouBike 1.0 一般版
ORD0000097,2024-07-11 07:47:00,2024-07-11 08:07:00,2024-07-11 08:45:00,U05480,500104005,500104005,8.72,YouBike 2.0 電輔版
ORD0000098,2024-04-07 14:51:00,2024-04-07 15:12:00,2024-04-07 15:27:00,U07533,500119059,500108197,4.52,YouBike 2.0 電輔版
ORD0000099,2024-07-27 09:34:00,2024-07-27 10:00:00,2024-07-27 10:27:00,U03512,500104044,500104044,7.15,YouBike 2.0 電輔版
ORD0000100,2023-11-09 10:34:00,2023-11-09 11:14:00,2023-11-09 11:28:00,U02682,500101198,500101198,2.27,YouBike 2.0 電輔版
ORD0000101,2024-01-27 18:36:00,2024-01-27 19:14:00,2024-01-27 20:08:00,U06816,500110099,500104009,11.39,YouBike 2.0 電輔版
ORD0000102,2024-08-21 08:43:00,2024-08-21 09:08:00,2024-08-21 09:27:00,U06137,500111009,500111009,4.79,YouBike 1.0 一般版
ORD0000103,2023-07-01 04:47:00,2023-07-01 05:01:00,2023-07-01 05:55:00,U05340,500112108,500108003,15.77,YouBike 1.0 一般版
ORD0000104,2025-04-28 10:31:00,2025-04-28 11:00:00,2025-04-28 11:15:00,U00167,500106146,500106146,4.99,YouBike 2.0 電輔版
ORD0000105,2023-07-15 00:49:00,2023-07-15 01:04:00,2023-07-15 01:18:00,U03810,500106018,500101254,2.54,輕型電動車
ORD0000106,2024-04-19 10:52:00,2024-04-19 11:08:00,2024-04-19 11:26:00,U04975,500109046,500109046,4.88,YouBike 2.0 電輔版
ORD0000107,2024-08-23 16:00:00,2024-08-23 16:03:00,2024-08-23 16:25:00,U07610,500101271,500101271,6.17,YouBike 2.0 電輔版
ORD0000108,2023-06-28 15:39:00,2023-06-28 16:12:00,2023-06-28 17:42:00,U00623,500104125,500107182,20.13,YouBike 2.0 電輔版
ORD0000109,2023-12-31 06:48:00,2023-12-31 07:07:00,2023-12-31 07:28:00,U00992,500103050,500103050,3.92,YouBike 2.0 電輔版
ORD0000110,2024-10-23 05:55:00,2024-10-23 06:01:00,2024-10-23 06:20:00,U03036,500112028,500112028,3.08,YouBike 2.0 電輔版
ORD0000111,2024-12-02 21:32:00,2024-12-02 22:10:00,2024-12-02 22:35:00,U02968,500119053,500119053,3.7,輕型電動車
ORD0000112,2025-03-01 13:50:00,2025-03-01 14:14:00,2025-03-01 14:29:00,U06012,500110047,500110047,4.19,輕型電動車
ORD0000113,2024-06-08 15:46:00,2024-06-08 16:08:00,2024-06-08 17:05:00,U06765,500104014,500104014,14.94,YouBike 2.0 電輔版
ORD0000114,2024-11-07 17:53:00,2024-11-07 18:08:00,2024-11-07 18:25:00,U07657,500108036,500108036,3.15,YouBike 1.0 一般版
ORD0000115,2023-09-23 15:32:00,2023-09-23 16:08:00,2023-09-23 16:36:00,U03105,500108043,500108043,7.98,YouBike 2.0 電輔版
ORD0000116,2023-03-08 14:40:00,2023-03-08 15:00:00,2023-03-08 15:12:00,U03995,500108068,500108068,3.35,YouBike 2.0 電輔版
ORD0000117,2024-08-10 08:36:00,2024-08-10 09:11:00,2024-08-10 10:16:00,U02264,500108184,500107130,17.19,YouBike 2.0 電輔版
ORD0000118,2023-12-06 18:47:00,2023-12-06 19:00:00,2023-12-06 19:51:00,U01978,500110094,500110094,12.88,YouBike 2.0 電輔版
ORD0000119,2024-06-02 20:53:00,2024-06-02 21:13:00,2024-06-02 21:55:00,U04021,500112027,500112027,9.78,YouBike 2.0 電輔版
ORD0000120,2023-04-08 17:44:00,2023-04-08 18:00:00,2023-04-08 19:30:00,U05668,500112007,500112007,15.35,YouBike 2.0 電輔版
ORD0000121,2024-06-25 14:37:00,2024-06-25 15:09:00,2024-06-25 16:04:00,U06111,500106133,500106133,13.6,輕型電動車
ORD0000122,2023-04-06 19:47:00,2023-04-06 20:10:00,2023-04-06 20:33:00,U02512,500109011,500109011,5.38,YouBike 1.0 一般版
ORD0000123,2024-11-07 08:38:00,2024-11-07 09:07:00,2024-11-07 09:32:00,U06244,500108057,500108057,4.66,輕型電動車
ORD0000124,2023-12-22 12:52:00,2023-12-22 13:05:00,2023-12-22 13:58:00,U02266,500106027,500110063,10.42,YouBike 1.0 一般版
ORD0000125,2025-02-11 16:53:00,2025-02-11 17:09:00,2025-02-11 18:07:00,U02477,500111052,500111052,17.46,YouBike 2.0 電輔版
ORD0000126,2024-12-04 17:30:00,2024-12-04 18:04:00,2024-12-04 18:35:00,U04534,500103023,500104041,5.94,YouBike 1.0 一般版
ORD0000127,2024-05-30 10:39:00,2024-05-30 11:04:00,2024-05-30 12:17:00,U02330,500103031,500103031,18.38,YouBike 2.0 電輔版
ORD0000128,2023-01-13 23:45:00,2023-01-14 00:15:00,2023-01-14 00:36:00,U00421,500108190,500108190,4.5,YouBike 1.0 一般版
ORD0000129,2023-07-08 10:38:00,2023-07-08 11:15:00,2023-07-08 11:23:00,U05624,500107112,500107112,1.99,折疊單車
ORD0000130,2023-03-28 07:31:00,2023-03-28 08:04:00,2023-03-28 09:29:00,U02490,500101211,500101211,16.09,YouBike 2.0 電輔版
ORD0000131,2023-10-28 20:32:00,2023-10-28 21:07:00,2023-10-28 22:51:00,U01849,500113033,500110024,19.04,YouBike 2.0 電輔版
ORD0000132,2025-05-02 06:54:00,2025-05-02 07:12:00,2025-05-02 07:57:00,U07047,500101170,500101170,9.52,YouBike 2.0 電輔版
ORD0000133,2023-03-12 12:48:00,2023-03-12 13:13:00,2023-03-12 16:10:00,U07763,500107001,500101135,36.21,YouBike 2.0 電輔版
ORD0000134,2025-03-29 15:54:00,2025-03-29 16:06:00,2025-03-29 16:49:00,U00666,500101241,500101241,10.28,YouBike 2.0 電輔版
ORD0000135,2023-09-17 10:35:00,2023-09-17 11:07:00,2023-09-17 12:19:00,U04865,500107088,500107088,13.7,YouBike 2.0 電輔版
ORD0000136,2023-12-21 08:45:00,2023-12-21 09:09:00,2023-12-21 09:25:00,U02317,500108137,500108137,2.75,YouBike 2.0 電輔版
ORD0000137,2023-08-14 10:52:00,2023-08-14 11:14:00,2023-08-14 13:03:00,U04832,500101026,500109073,19.24,YouBike 2.0 電輔版
ORD0000138,2023-12-03 15:51:00,2023-12-03 16:06:00,2023-12-03 17:12:00,U05306,500112051,500112051,15.13,YouBike 1.0 一般版
ORD0000139,2024-05-07 15:34:00,2024-05-07 16:08:00,2024-05-07 16:38:00,U06136,500104051,500104051,8.58,輕型電動車
ORD0000140,2023-07-18 16:56:00,2023-07-18 17:09:00,2023-07-18 17:38:00,U02492,500106102,500106102,6.66,輕型電動車
ORD0000141,2023-01-06 17:52:00,2023-01-06 18:12:00,2023-01-06 19:31:00,U00327,500107062,500107062,22.51,YouBike 2.0 電輔版
ORD0000142,2024-03-15 06:58:00,2024-03-15 07:13:00,2024-03-15 07:18:00,U00212,500106030,500106030,1.32,YouBike 2.0 電輔版
ORD0000143,2023-03-11 08:32:00,2023-03-11 09:07:00,2023-03-11 09:20:00,U06265,500101095,500103042,4.17,YouBike 1.0 一般版
ORD0000144,2024-03-30 14:51:00,2024-03-30 15:08:00,2024-03-30 16:50:00,U01436,500104150,500104030,24.28,YouBike 1.0 一般版
ORD0000145,2025-04-25 17:45:00,2025-04-25 18:14:00,2025-04-25 18:56:00,U04029,500104109,500104109,12.41,YouBike 2.0 電輔版
ORD0000146,2024-06-25 15:32:00,2024-06-25 16:15:00,2024-06-25 16:29:00,U05490,500111091,500111091,3.59,折疊單車
ORD0000147,2024-01-07 07:33:00,2024-01-07 08:05:00,2024-01-07 08:50:00,U06665,500101026,500101185,9.34,YouBike 2.0 電輔版
ORD0000148,2025-05-19 18:54:00,2025-05-19 19:01:00,2025-05-19 19:25:00,U02649,500109035,500109035,5.07,YouBike 1.0 一般版
ORD0000149,2024-04-21 10:33:00,2024-04-21 11:12:00,2024-04-21 11:30:00,U03785,500108171,500105019,5.09,YouBike 1.0 一般版
ORD0000150,2024-10-17 10:43:00,2024-10-17 11:01:00,2024-10-17 11:12:00,U06197,500112051,500112051,2.09,YouBike 2.0 電輔版
ORD0000151,2025-01-19 07:45:00,2025-01-19 08:14:00,2025-01-19 08:43:00,U03590,500112106,500111073,7.95,YouBike 2.0 電輔版
ORD0000152,2023-04-03 17:58:00,2023-04-03 18:15:00,2023-04-03 19:19:00,U04988,500110014,500107007,12.31,YouBike 2.0 電輔版
ORD0000153,2025-02-07 22:55:00,2025-02-07 23:07:00,2025-02-07 23:19:00,U01841,500105024,500105024,3.1,YouBike 2.0 電輔版
ORD0000154,2024-08-11 18:56:00,2024-08-11 19:03:00,2024-08-11 19:35:00,U06817,500107182,500107182,7.38,YouBike 2.0 電輔版
ORD0000155,2024-12-12 18:34:00,2024-12-12 19:15:00,2024-12-12 19:50:00,U03953,500108193,500108193,9.98,YouBike 1.0 一般版
ORD0000156,2023-11-07 18:45:00,2023-11-07 19:07:00,2023-11-07 20:06:00,U01562,500107010,500107010,14.18,YouBike 1.0 一般版
ORD0000157,2023-01-12 07:59:00,2023-01-12 08:04:00,2023-01-12 08:27:00,U07654,500108201,500108201,6.34,YouBike 2.0 電輔版
ORD0000158,2023-10-05 12:55:00,2023-10-05 13:08:00,2023-10-05 13:42:00,U02446,500113019,500113019,10.26,YouBike 1.0 一般版
ORD0000159,2024-01-12 13:56:00,2024-01-12 14:15:00,2024-01-12 14:57:00,U06250,500110065,500110065,11.3,YouBike 2.0 電輔版
ORD0000160,2023-05-15 07:47:00,2023-05-15 08:12:00,2023-05-15 08:46:00,U01546,500112027,500112027,7.92,輕型電動車
ORD0000161,2025-01-12 10:52:00,2025-01-12 11:07:00,2025-01-12 11:30:00,U06101,500101168,500101168,5.68,YouBike 1.0 一般版
ORD0000162,2023-10-26 15:45:00,2023-10-26 16:12:00,2023-10-26 16:47:00,U06724,500107108,500101169,8.49,YouBike 2.0 電輔版
ORD0000163,2023-12-18 08:50:00,2023-12-18 09:04:00,2023-12-18 09:12:00,U07125,500101196,500101196,2.44,輕型電動車
ORD0000164,2024-05-27 16:33:00,2024-05-27 17:14:00,2024-05-27 18:20:00,U00126,500108020,500101188,12.01,折疊單車
ORD0000165,2024-10-26 17:53:00,2024-10-26 18:04:00,2024-10-26 19:17:00,U07940,500112036,500112036,15.99,YouBike 2.0 電輔版
ORD0000166,2023-04-13 16:38:00,2023-04-13 17:10:00,2023-04-13 18:13:00,U00658,500101131,500101131,15.5,YouBike 1.0 一般版
ORD0000167,2023-04-17 19:57:00,2023-04-17 20:10:00,2023-04-17 20:46:00,U05888,500113019,500113019,10.4,YouBike 2.0 電輔版
ORD0000168,2023-03-04 07:58:00,2023-03-04 08:15:00,2023-03-04 08:27:00,U00561,500101244,500101244,3.02,YouBike 2.0 電輔版
ORD0000169,2024-10-26 18:37:00,2024-10-26 19:09:00,2024-10-26 19:30:00,U05192,500112010,500112010,6.28,YouBike 2.0 電輔版
ORD0000170,2024-11-22 15:52:00,2024-11-22 16:03:00,2024-11-22 16:58:00,U07401,500107149,500112085,11.89,YouBike 1.0 一般版
ORD0000171,2024-08-29 06:30:00,2024-08-29 07:01:00,2024-08-29 07:41:00,U02001,500111056,500111056,8.84,YouBike 2.0 電輔版
ORD0000172,2023-04-21 12:46:00,2023-04-21 13:13:00,2023-04-21 13:20:00,U01393,500112075,500107026,1.86,YouBike 2.0 電輔版
ORD0000173,2025-05-04 18:35:00,2025-05-04 19:02:00,2025-05-04 19:51:00,U04778,500111071,500111071,11.59,折疊單車
ORD0000174,2024-03-06 06:34:00,2024-03-06 07:07:00,2024-03-06 07:38:00,U02092,500101110,500101110,7.58,YouBike 2.0 電輔版
ORD0000175,2025-01-24 22:51:00,2025-01-24 23:00:00,2025-01-24 23:21:00,U00606,500107030,500107030,5.61,YouBike 1.0 一般版
ORD0000176,2023-01-17 12:44:00,2023-01-17 13:11:00,2023-01-17 14:33:00,U07881,500105079,500105079,24.55,輕型電動車
ORD0000177,2023-09-16 05:43:00,2023-09-16 06:08:00,2023-09-16 06:15:00,U00874,500109109,500104071,0.98,折疊單車
ORD0000178,2023-10-28 15:37:00,2023-10-28 16:12:00,2023-10-28 16:24:00,U05729,500119072,500119072,4.73,輕型電動車
ORD0000179,2024-03-08 15:39:00,2024-03-08 16:00:00,2024-03-08 17:07:00,U05619,500108005,500108005,19.68,YouBike 2.0 電輔版
ORD0000180,2024-09-17 04:54:00,2024-09-17 05:01:00,2024-09-17 06:34:00,U06823,500113101,500112008,26.46,輕型電動車
ORD0000181,2024-08-30 19:58:00,2024-08-30 20:09:00,2024-08-30 20:32:00,U01558,500111007,500111007,6.32,YouBike 1.0 一般版
ORD0000182,2023-08-08 12:49:00,2023-08-08 13:08:00,2023-08-08 13:21:00,U05401,500109009,500110098,4.23,YouBike 2.0 電輔版
ORD0000183,2024-12-01 06:51:00,2024-12-01 07:04:00,2024-12-01 07:27:00,U03612,500101274,500101274,6.35,輕型電動車
ORD0000184,2024-06-09 04:31:00,2024-06-09 05:11:00,2024-06-09 05:56:00,U02418,500106020,500106020,11.48,折疊單車
ORD0000185,2024-11-16 11:40:00,2024-11-16 12:13:00,2024-11-16 12:24:00,U04349,500110048,500107178,2.51,YouBike 2.0 電輔版
ORD0000186,2024-06-18 19:46:00,2024-06-18 20:08:00,2024-06-18 20:25:00,U06756,500119090,500119090,5.18,YouBike 2.0 電輔版
ORD0000187,2024-03-03 16:00:00,2024-03-03 16:15:00,2024-03-03 16:36:00,U03837,500109105,500108106,5.93,YouBike 2.0 電輔版
